"Term","Plain English meaning"
"Score out of 100","All answers converted to a 0-100 scale. 100 means every student strongly agreed; 50 is neutral; 0 means every student strongly disagreed."
"Average score","Add up all students' scores for a topic and divide by how many students answered."
"Rating","A word for the score: 80+ Very good, 60-79 Good, 40-59 Needs work, below 40 Poor."
"Most students scored between","The middle half of students fall in this range. A quarter scored lower, a quarter scored higher."
"Do students agree?","Whether students gave similar answers or very different ones. Wide disagreement means one average hides two different experiences."
"Gap","The difference in average score between two groups, in points out of 100."
"Is the gap real?","Whether the gap is big enough that it is unlikely to be a fluke of who happened to answer. 'No' means treat the two groups as equal."
"Size of gap","How meaningful the gap is in practice. A gap can be real but still tiny and unimportant."
"How closely linked","Whether two topics rise and fall together across students."
"Consistency score","Whether the questions grouped under one topic actually measure the same thing. Above 0.70 is the accepted standard."
"Students who answered","How many people gave a usable answer. Small numbers mean less reliable results."
