"Term","Plain English meaning"
"Scatter plot","Each dot represents one student. Position shows their two scores."
"Regression line","Best-fit line through the dots; shows the overall trend."
"Correlation (r)","Number from -1 to +1. 0 = no link; 1 = perfect positive; -1 = perfect negative."
"Very strong correlation","Dots cluster tightly around the line. Knowing one score predicts the other well."
"Strong correlation","General pattern visible with moderate scatter. Good predictive power."
"Moderate correlation","Weaker relationship; some tendency but not clear."
"Weak correlation","Almost no visible pattern; topics are largely independent."
"p-value","Statistical significance. Below 0.05 means the correlation is real, not chance."
"Bubble chart","Scatter plot where the size of each dot shows a third piece of information."
"Density contour","Lines connecting points with equal frequency; shows where dots cluster densely."
"Hexbin chart","Hexagons replace dots; darkness shows how many dots fall in each hexagon."
"Confidence interval","Shaded band around the regression line; 95% CI on the trend estimate."
